MASTER RESULTS — TEXT VERSION FOR A TEXT-ONLY AI

Source file: master_results.csv
Rows: 513
Columns: 15

COLUMN SCHEMA
- model: Model variant name
- seq_len: Sequence length used in evaluation/training condition
- decoys: Number of decoys / distractors
- repeats: Repeat count for the target pattern
- seed: Random seed
- val_acc: Validation accuracy
- router_acc1: Top-1 router accuracy
- recall_at_m: Recall at M retrieved candidates
- pointer_acc: Pointer accuracy after retrieval/disambiguation
- router_miss: Router miss rate
- pointer_miss: Pointer miss rate
- value_miss: Value miss rate
- infer_ms_no_y: Inference time in milliseconds (no_y variant)
- peak_mem_mb: Peak memory in MB
- run_dir: Run directory path

PARSING NOTE
The table below is TAB-SEPARATED (TSV).
Each line after the header is one row.
Do not assume sorting beyond the original file order.

BEGIN_TSV
model	seq_len	decoys	repeats	seed	val_acc	router_acc1	recall_at_m	pointer_acc	router_miss	pointer_miss	value_miss	infer_ms_no_y	peak_mem_mb	run_dir
rft_base	1024	256	2	1	0.839688	0.778125	0.998906	0.842635	0.001094	0.157188	0.018437	2.87773	141.512695	runs/20260331_060951__step2_base_r2_d256/model=rft_base__L=1024__seed=1__decoys=256__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	256	2	2	0.8375	0.780156	0.99875	0.847302	0.00125	0.1525	0.02125	2.860189	141.512695	runs/20260331_060951__step2_base_r2_d256/model=rft_base__L=1024__seed=2__decoys=256__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	256	4	0	0.841719	0.783906	0.998906	0.846865	0.001094	0.152969	0.018594	2.815754	149.897461	runs/20260331_095443__step2_base_r4_d256/model=rft_base__L=1024__seed=0__decoys=256__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	256	4	1	0.839063	0.792188	0.998906	0.84424	0.001094	0.155625	0.017656	2.779055	141.512695	runs/20260331_095443__step2_base_r4_d256/model=rft_base__L=1024__seed=1__decoys=256__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	256	4	2	0.841719	0.794531	0.999687	0.849802	0.000313	0.150156	0.017969	2.857329	141.512695	runs/20260331_095443__step2_base_r4_d256/model=rft_base__L=1024__seed=2__decoys=256__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	32	1	0	0.902969	0.806094	1	0.904844	0	0.095156	0.011406	2.819461	252.183594	runs/20260330_234321__step2_base_r1_d32/model=rft_base__L=2048__seed=0__decoys=32__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	32	1	1	0.891875	0.800156	1	0.895469	0	0.104531	0.01375	2.876682	207.90918	runs/20260330_234321__step2_base_r1_d32/model=rft_base__L=2048__seed=1__decoys=32__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	32	1	2	0.899375	0.807031	1	0.906094	0	0.093906	0.016094	2.860851	207.90918	runs/20260330_234321__step2_base_r1_d32/model=rft_base__L=2048__seed=2__decoys=32__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	32	2	0	0.864219	0.721719	1	0.869687	0	0.130312	0.019688	2.819277	252.182617	runs/20260331_040021__step2_base_r2_d32/model=rft_base__L=2048__seed=0__decoys=32__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	2048	32	2	1	0.858906	0.717187	1	0.868594	0	0.131406	0.019844	2.838939	207.90918	runs/20260331_040021__step2_base_r2_d32/model=rft_base__L=2048__seed=1__decoys=32__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
